,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
2472,David Soria\David-Soria,es ESP,GK,Getafe,es La Liga,27,1993,28,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2473,Roberto Soriano\Roberto-Soriano,it ITA,MF,Bologna,it Serie A,29,1991,36.1,9,61,19,31.1,1.69,0.53,0.15,0.47,17.5,0,0,0,6.2,6.2,0.1,2.8,2.8
2474,Alberto Soro\Alberto-Soro,es ESP,FWMF,Granada,es La Liga,21,1999,4.4,1,2,1,50,0.46,0.23,0.5,1,9.9,0,0,0,0.8,0.8,0.39,0.2,0.2
2475,Borna Sosa\Borna-Sosa,hr CRO,DF,Stuttgart,de Bundesliga,22,1998,22.7,0,14,3,21.4,0.62,0.13,0,0,21.7,2,0,0,0.6,0.6,0.04,-0.6,-0.6
2476,Hugo Sotelo\Hugo-Sotelo,es ESP,MF,Celta Vigo,es La Liga,16,2003,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2477,Florian Sotoca\Florian-Sotoca,fr FRA,FW,Lens,fr Ligue 1,29,1990,26.8,8,69,18,26.1,2.57,0.67,0.09,0.33,13.4,0,2,2,9.9,8.4,0.12,-1.9,-2.4
2478,Riccardo Sottil\Riccardo-Sottil,it ITA,MFFW,Cagliari,it Serie A,21,1999,13.2,2,25,9,36,1.9,0.68,0.08,0.22,17,0,0,0,2,2,0.08,0,0
2479,Cheick Souaré\Cheick-Souare,fr FRA,MF,Marseille,fr Ligue 1,17,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2480,Tomáš Souček\Tomas-Soucek,cz CZE,MF,West Ham,eng Premier League,25,1995,38,10,64,23,35.9,1.68,0.61,0.16,0.43,11.4,0,0,0,9.2,9.2,0.15,0.8,0.8
2481,Rayan Souici\Rayan-Souici,fr FRA,DF,Saint-Étienne,fr Ligue 1,22,1998,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2482,Cebio Soukou\Cebio-Soukou,bj BEN,FWMF,Arminia,de Bundesliga,27,1992,5.1,1,9,1,11.1,1.77,0.2,0.11,1,19.9,0,0,0,0.8,0.8,0.08,0.2,0.2
2483,Adama Soumaoro\Adama-Soumaoro,fr FRA,DF,Bologna,it Serie A,28,1992,19.5,1,7,2,28.6,0.36,0.1,0.14,0.5,7.4,0,0,0,1.2,1.2,0.17,-0.2,-0.2
2484,Adama Soumaoro\Adama-Soumaoro,fr FRA,DF,Lille,fr Ligue 1,28,1992,1.6,0,2,0,0,1.24,0,0,,16.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
2485,Boubakary Soumaré\Boubakary-Soumare,fr FRA,MF,Lille,fr Ligue 1,21,1999,21.3,0,9,3,33.3,0.42,0.14,0,0,23.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3
2486,Yaya Soumaré\Yaya-Soumare,fr FRA,FW,Lyon,fr Ligue 1,20,2000,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2487,Arnaud Souquet\Arnaud-Souquet,fr FRA,DF,Montpellier,fr Ligue 1,28,1992,13.6,1,6,2,33.3,0.44,0.15,0.17,0.5,24.4,0,0,0,0.2,0.2,0.03,0.8,0.8
2488,Ansou Sow\Ansou-Sow,fr FRA,MF,Lens,fr Ligue 1,20,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2489,Djibril Sow\Djibril-Sow,ch SUI,MF,Eint Frankfurt,de Bundesliga,23,1997,24.2,0,11,3,27.3,0.46,0.12,0,0,21.4,0,0,0,0.6,0.6,0.05,-0.6,-0.6
2490,Saidou Sow\Saidou-Sow,gn GUI,DF,Saint-Étienne,fr Ligue 1,18,2002,11.1,0,2,1,50,0.18,0.09,0,0,7.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
2491,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,eng Premier League,24,1996,20.2,1,9,3,33.3,0.45,0.15,0.11,0.33,10.2,0,0,0,0.5,0.5,0.06,0.5,0.5
2492,Leonardo Spinazzola\Leonardo-Spinazzola,it ITA,DF,Roma,it Serie A,27,1993,23.6,2,22,6,27.3,0.93,0.25,0.09,0.33,17.4,0,0,0,2,2,0.09,0,0
2493,Marco Sportiello\Marco-Sportiello,it ITA,GK,Atalanta,it Serie A,28,1992,14,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2494,Mattia Sprocati\Mattia-Sprocati,it ITA,FW,Parma,it Serie A,27,1993,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2495,Jerry St. Juste\Jerry-St-Juste,nl NED,DF,Mainz 05,de Bundesliga,23,1996,32,0,22,4,18.2,0.69,0.12,0,0,16.3,4,0,0,2,2,0.09,-2,-2
2496,Benjamin Stambouli\Benjamin-Stambouli,fr FRA,MFDF,Schalke 04,de Bundesliga,29,1990,21.7,0,2,1,50,0.09,0.05,0,0,20.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1
2497,Josip Stanišić\Josip-Stanisic,de GER,DF,Bayern Munich,de Bundesliga,20,2000,1,0,2,0,0,2,0,0,,7.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2
2498,Niklas Stark\Niklas-Stark,de GER,DFMF,Hertha BSC,de Bundesliga,25,1995,31,0,11,3,27.3,0.35,0.1,0,0,9.8,0,0,0,0.9,0.9,0.09,-0.9,-0.9
2499,Renato Steffen\Renato-Steffen,ch SUI,FWMF,Wolfsburg,de Bundesliga,28,1991,17.4,5,30,14,46.7,1.72,0.8,0.17,0.36,14.6,0,0,0,4.3,4.3,0.14,0.7,0.7
2500,Zack Steffen\Zack-Steffen,us USA,GK,Manchester City,eng Premier League,25,1995,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2501,Pascal Stenzel\Pascal-Stenzel,de GER,DF,Stuttgart,de Bundesliga,24,1996,14.2,0,5,1,20,0.35,0.07,0,0,22.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
2502,Dale Stephens\Dale-Stephens,eng ENG,MF,Burnley,eng Premier League,31,1989,2.9,0,4,0,0,1.38,0,0,,19.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2
2503,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,eng Premier League,26,1994,17.1,0,6,2,33.3,0.35,0.12,0,0,8.2,0,0,0,0.7,0.7,0.12,-0.7,-0.7
2504,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,eng Premier League,25,1994,28.2,10,67,28,41.8,2.38,0.99,0.15,0.36,14.4,3,0,1,12.2,11.4,0.17,-2.2,-1.4
2505,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,eng Premier League,30,1990,30,0,16,4,25,0.53,0.13,0,0,18.1,0,0,0,1.1,1.1,0.07,-1.1,-1.1
2506,Lars Stindl\Lars-Stindl,de GER,MFFW,M'Gladbach,de Bundesliga,31,1988,21.8,14,49,22,44.9,2.25,1.01,0.16,0.36,19.8,6,6,7,10,4.7,0.1,4,3.3
2507,Kevin Stöger\Kevin-Stoger,at AUT,MFFW,Mainz 05,de Bundesliga,26,1993,6,3,9,4,44.4,1.51,0.67,0.33,0.75,15.1,0,0,0,1.6,1.6,0.18,1.4,1.4
2508,John Stones\John-Stones,eng ENG,DF,Manchester City,eng Premier League,26,1994,21.5,4,15,5,33.3,0.7,0.23,0.27,0.8,12.8,0,0,0,2.2,2.2,0.15,1.8,1.8
2509,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,Lazio,it Serie A,25,1995,9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2510,Tobias Strobl\Tobias-Strobl,de GER,MF,Augsburg,de Bundesliga,30,1990,20.5,0,6,1,16.7,0.29,0.05,0,0,17.1,0,0,0,0.5,0.5,0.09,-0.5,-0.5
2511,Kevin Strootman\Kevin-Strootman,nl NED,MF,Marseille,fr Ligue 1,30,1990,2.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2512,Kevin Strootman\Kevin-Strootman,nl NED,MF,Genoa,it Serie A,30,1990,14.6,0,6,2,33.3,0.41,0.14,0,0,18.9,0,0,0,0.5,0.5,0.08,-0.5,-0.5
2513,Pascal Struijk\Pascal-Struijk,nl NED,DFMF,Leeds United,eng Premier League,20,1999,23.1,1,14,4,28.6,0.61,0.17,0.07,0.25,9,0,0,0,2.4,2.4,0.17,-1.4,-1.4
2514,Jens Stryger Larsen\Jens-Stryger-Larsen,dk DEN,DF,Udinese,it Serie A,29,1991,29.3,2,24,11,45.8,0.82,0.38,0.08,0.18,17.5,0,0,0,2.9,2.9,0.12,-0.9,-0.9
2515,Stefano Sturaro\Stefano-Sturaro,it ITA,MF,Hellas Verona,it Serie A,27,1993,4.7,0,1,0,0,0.21,0,0,,21,0,0,0,0,0,0.04,0,0
2516,Stefano Sturaro\Stefano-Sturaro,it ITA,MF,Genoa,it Serie A,27,1993,4.9,1,5,2,40,1.01,0.4,0.2,0.5,17.2,2,0,0,0.4,0.4,0.08,0.6,0.6
2517,Damián Suárez\Damian-Suarez,uy URU,DF,Getafe,es La Liga,32,1988,27,1,10,2,20,0.37,0.07,0.1,0.5,32.1,2,0,0,0.3,0.3,0.03,0.7,0.7
2518,Denis Suárez\Denis-Suarez,es ESP,MF,Celta Vigo,es La Liga,26,1994,31.7,0,16,3,18.8,0.5,0.09,0,0,21.8,1,0,0,0.9,0.9,0.05,-0.9,-0.9
2519,Luis Suárez\Luis-Suarez,uy URU,FW,Atlético Madrid,es La Liga,33,1987,27.9,21,98,41,41.8,3.52,1.47,0.18,0.44,16.3,7,3,3,15.6,13.3,0.14,5.4,4.7
2520,Marek Suchý\Marek-Suchy,cz CZE,DF,Augsburg,de Bundesliga,32,1988,3.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2521,Niklas Süle\Niklas-Sule,de GER,DF,Bayern Munich,de Bundesliga,24,1995,16.7,1,20,4,20,1.2,0.24,0.05,0.25,17.4,0,0,0,1.1,1.1,0.06,-0.1,-0.1
2522,Suso\Suso,es ESP,FW,Sevilla,es La Liga,26,1993,24.6,3,48,17,35.4,1.95,0.69,0.06,0.18,22.9,2,0,0,2.1,2.1,0.04,0.9,0.9
2523,Bosko Sutalo\Bosko-Sutalo,hr CRO,DF,Atalanta,it Serie A,20,2000,2.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2524,Mattias Svanberg\Mattias-Svanberg,se SWE,MF,Bologna,it Serie A,21,1999,20.6,5,57,17,29.8,2.77,0.83,0.09,0.29,21.2,1,0,0,4,4,0.07,1,1
2525,Abdoulaye Sylla\Abdoulaye-Sylla,gn GUI,DF,Nantes,fr Ligue 1,20,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2526,Issiaga Sylla\Issiaga-Sylla,gn GUI,DF,Lens,fr Ligue 1,26,1994,12.4,1,10,2,20,0.81,0.16,0.1,0.5,10.5,0,0,0,1.5,1.5,0.15,-0.5,-0.5
2527,Eddy Sylvestre\Eddy-Sylvestre,fr FRA,FWMF,Nice,fr Ligue 1,20,1999,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2528,Ádám Szalai\Adam-Szalai,hu HUN,FW,Mainz 05,de Bundesliga,32,1987,8.1,1,15,6,40,1.84,0.74,0.07,0.17,14.1,0,0,0,2.2,2.2,0.14,-1.2,-1.2
2529,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,Juventus,it Serie A,30,1990,29.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2530,Frederik Sørensen\Frederik-Sorensen,dk DEN,DF,Köln,de Bundesliga,28,1992,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2531,Alexander Sørloth\Alexander-Sorloth,no NOR,FW,RB Leipzig,de Bundesliga,24,1995,16,5,48,17,35.4,2.99,1.06,0.1,0.29,11.7,0,0,1,6.4,5.7,0.12,-1.4,-0.7
2532,Tachi\Tachi,es ESP,DF,Alavés,es La Liga,22,1997,9.4,0,3,0,0,0.32,0,0,,8.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2
2533,Jonathan Tah\Jonathan-Tah,de GER,DF,Leverkusen,de Bundesliga,24,1996,24.7,1,10,2,20,0.41,0.08,0.1,0.5,9.7,0,0,0,0.8,0.8,0.08,0.2,0.2
2534,Waniss Taibi\Waniss-Taibi,fr FRA,MF,Angers,fr Ligue 1,18,2002,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2535,Flavien Tait\Flavien-Tait,fr FRA,MFFW,Rennes,fr Ligue 1,27,1993,15.2,1,24,8,33.3,1.58,0.53,0.04,0.13,18.8,0,0,0,2.4,2.4,0.1,-1.4,-1.4
2536,Adrien Tameze\Adrien-Tameze,cm CMR,MF,Hellas Verona,it Serie A,26,1994,25.6,1,17,3,17.6,0.66,0.12,0.06,0.33,20.5,0,0,0,1.7,1.7,0.1,-0.7,-0.7
2537,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,eng Premier League,21,1999,5.4,0,2,0,0,0.37,0,0,,5.5,0,0,0,0.2,0.2,0.1,-0.2,-0.2
2538,Renato Tapia\Renato-Tapia,pe PER,MF,Celta Vigo,es La Liga,25,1995,30,0,18,5,27.8,0.6,0.17,0,0,19,0,0,0,0.9,0.9,0.05,-0.9,-0.9
2539,Edmond Tapsoba\Edmond-Tapsoba,bf BFA,DF,Leverkusen,de Bundesliga,21,1999,29.5,1,17,5,29.4,0.58,0.17,0.06,0.2,13,0,0,0,1.1,1.1,0.06,-0.1,-0.1
2540,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,eng Premier League,24,1995,37.8,0,6,2,33.3,0.16,0.05,0,0,20.8,1,0,0,0.2,0.2,0.04,-0.2,-0.2
2541,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,eng Premier League,27,1992,36,1,22,6,27.3,0.61,0.17,0.05,0.17,8.3,0,0,0,2.6,2.6,0.12,-1.6,-1.6
2542,Ciprian Tătărușanu\Ciprian-Tatarusanu,ro ROU,GK,Milan,it Serie A,34,1986,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2543,Percy Tau\Percy-Tau,za RSA,FWMF,Brighton,eng Premier League,26,1994,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2544,Niklas Tauer\Niklas-Tauer,de GER,MFDF,Mainz 05,de Bundesliga,19,2001,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2545,Heriberto Tavares\Heriberto-Tavares,pt POR,MFFW,Brest,fr Ligue 1,23,1997,0.5,0,1,1,100,2.09,2.09,0,0,15.7,0,0,0,0.3,0.3,0.35,-0.3,-0.3
2546,Sidnei Tavares\Sidnei-Tavares,pt POR,MF,Leicester City,eng Premier League,18,2001,0.9,0,1,1,100,1.06,1.06,0,0,22,0,0,0,0.1,0.1,0.05,-0.1,-0.1
2547,Tomás Tavares\Tomas-Tavares,pt POR,MFDF,Alavés,es La Liga,19,2001,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2548,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,eng Premier League,26,1993,27,0,3,2,66.7,0.11,0.07,0,0,25,0,0,0,0.1,0.1,0.03,-0.1,-0.1
2549,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,eng Premier League,31,1989,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2550,Allan Tchaptchet\Allan-Tchaptchet,fr FRA,DF,Southampton,eng Premier League,18,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2551,Warren Tchimbembé\Warren-Tchimbembe,fr FRA,MFFW,Metz,fr Ligue 1,22,1998,5.5,0,6,1,16.7,1.09,0.18,0,0,17.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4
2552,Aurélien Tchouaméni\Aurelien-Tchouameni,fr FRA,MF,Monaco,fr Ligue 1,20,2000,34,2,52,10,19.2,1.53,0.29,0.04,0.2,17.1,0,0,0,4,4,0.08,-2,-2
2553,Álvaro Tejero\Alvaro-Tejero,es ESP,DF,Eibar,es La Liga,24,1996,1.2,0,2,1,50,1.64,0.82,0,0,26.7,0,0,0,0,0,0.02,0,0
2554,Nathan Tella\Nathan-Tella,eng ENG,FWMF,Southampton,eng Premier League,21,1999,8.3,1,15,7,46.7,1.81,0.85,0.07,0.14,18,0,0,0,1.8,1.8,0.12,-0.8,-0.8
2555,Alex Telles\Alex-Telles,br BRA,DF,Manchester Utd,eng Premier League,27,1992,7.7,0,5,1,20,0.65,0.13,0,0,22.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2
2556,Andrés Tello\Andres-Tello,co COL,DFMF,Benevento,it Serie A,23,1996,4.6,1,7,3,42.9,1.53,0.65,0.14,0.33,14.4,0,0,0,0.4,0.4,0.06,0.6,0.6
2557,Cristian Tello\Cristian-Tello,es ESP,FWMF,Betis,es La Liga,28,1991,14.3,5,35,14,40,2.46,0.98,0.14,0.36,20.4,1,0,0,2.3,2.3,0.06,2.7,2.7
2558,Lino Tempelmann\Lino-Tempelmann,de GER,MFDF,Freiburg,de Bundesliga,21,1999,3,0,4,0,0,1.33,0,0,,21,0,0,0,0.2,0.2,0.04,-0.2,-0.2
2559,Hidde ter Avest\Hidde-ter-Avest,nl NED,DF,Udinese,it Serie A,23,1997,3.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2560,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,es La Liga,28,1992,31,0,1,0,0,0.03,0,0,,18,0,0,0,0.1,0.1,0.07,-0.1,-0.1
2561,Pietro Terracciano\Pietro-Terracciano,it ITA,GK,Fiorentina,it Serie A,30,1990,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2562,Martin Terrier\Martin-Terrier,fr FRA,FWMF,Rennes,fr Ligue 1,23,1997,27.1,9,46,17,37,1.7,0.63,0.17,0.47,16.1,0,1,1,6.3,5.6,0.12,2.7,2.4
2563,Claudio Terzi\Claudio-Terzi,it ITA,DF,Spezia,it Serie A,36,1984,20.8,1,5,2,40,0.24,0.1,0.2,0.5,8.9,0,0,0,0.3,0.3,0.06,0.7,0.7
2564,Kenny Tete\Kenny-Tete,nl NED,DF,Lyon,fr Ligue 1,24,1995,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2565,Kenny Tete\Kenny-Tete,nl NED,DF,Fulham,eng Premier League,24,1995,16.5,0,7,2,28.6,0.43,0.12,0,0,18.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2
2566,Cedric Teuchert\Cedric-Teuchert,de GER,FWMF,Union Berlin,de Bundesliga,23,1997,8.4,3,23,10,43.5,2.75,1.19,0.13,0.3,16.3,0,0,0,3.3,3.3,0.14,-0.3,-0.3
2567,Florian Thauvin\Florian-Thauvin,fr FRA,FWMF,Marseille,fr Ligue 1,27,1993,30.4,8,69,19,27.5,2.27,0.63,0.12,0.42,18.5,6,0,2,9.8,8.3,0.12,-1.8,-0.3
2568,Malick Thiaw\Malick-Thiaw,de GER,DF,Schalke 04,de Bundesliga,18,2001,16.1,1,8,4,50,0.5,0.25,0.13,0.25,8.8,0,0,0,0.5,0.5,0.06,0.5,0.5
2569,Jan Thielmann\Jan-Thielmann,de GER,FWMF,Köln,de Bundesliga,18,2002,11.4,2,11,4,36.4,0.96,0.35,0.18,0.5,17.8,0,0,0,1.1,1.1,0.1,0.9,0.9
2570,Sada Thioub\Sada-Thioub,sn SEN,FWMF,Angers,fr Ligue 1,25,1995,14,1,23,6,26.1,1.65,0.43,0.04,0.17,17.9,0,0,0,1.5,1.5,0.06,-0.5,-0.5
2571,William Thomas Fish\William-Thomas-Fish,eng ENG,DF,Manchester Utd,eng Premier League,17,2003,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2572,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,eng Premier League,19,2001,10.8,1,8,3,37.5,0.74,0.28,0.13,0.33,13.1,0,0,0,0.3,0.3,0.04,0.7,0.7
2573,Romain Thomas\Romain-Thomas,fr FRA,DF,Angers,fr Ligue 1,32,1988,33.6,4,15,8,53.3,0.45,0.24,0.27,0.5,9.4,1,0,0,2.2,2.2,0.14,1.8,1.8
2574,Adrien Thomasson\Adrien-Thomasson,fr FRA,MF,Strasbourg,fr Ligue 1,26,1993,29.2,5,46,15,32.6,1.58,0.51,0.11,0.33,16.4,0,0,0,6.4,6.4,0.14,-1.4,-1.4
2575,Erik Thommy\Erik-Thommy,de GER,DFFW,Stuttgart,de Bundesliga,25,1994,3.5,0,10,1,10,2.88,0.29,0,0,20.9,2,0,0,0.5,0.5,0.05,-0.5,-0.5
2576,Morten Thorsby\Morten-Thorsby,no NOR,MF,Sampdoria,it Serie A,24,1996,29.4,3,24,9,37.5,0.82,0.31,0.13,0.33,8.9,0,0,0,3.7,3.7,0.15,-0.7,-0.7
2577,Marcus Thuram\Marcus-Thuram,fr FRA,FW,M'Gladbach,de Bundesliga,22,1997,19.2,8,59,20,33.9,3.07,1.04,0.14,0.4,13,0,0,0,7.8,7.8,0.13,0.2,0.2
2578,Khéphren Thuram-Ulie\Khephren-Thuram-Ulie,fr FRA,MF,Nice,fr Ligue 1,19,2001,16.6,2,10,4,40,0.6,0.24,0.2,0.5,15.3,0,0,0,0.8,0.8,0.08,1.2,1.2
2579,Cheikh Tidiane Sabaly\Cheikh-Tidiane-Sabaly,sn SEN,MF,Metz,fr Ligue 1,21,1999,0.1,0,1,0,0,7.5,0,0,,20.9,0,0,0,0,0,0.03,0,0
2580,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,eng Premier League,23,1997,37.3,6,47,18,38.3,1.26,0.48,0.09,0.22,22.1,4,2,2,4.5,3,0.06,1.5,1
2581,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,eng Premier League,23,1997,25.5,1,15,3,20,0.59,0.12,0.07,0.33,24.3,0,0,0,0.4,0.4,0.03,0.6,0.6
2582,Steffen Tigges\Steffen-Tigges,de GER,FW,Dortmund,de Bundesliga,22,1998,0.6,0,4,1,25,6.43,1.61,0,0,23.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2
2583,Guus Til\Guus-Til,nl NED,FW,Freiburg,de Bundesliga,22,1997,1.4,0,2,1,50,1.44,0.72,0,0,10.9,0,0,0,0.3,0.3,0.16,-0.3,-0.3
2584,David Timor\David-Timor,es ESP,MFDF,Getafe,es La Liga,30,1989,15.5,0,18,5,27.8,1.16,0.32,0,0,33.3,9,0,0,0.5,0.5,0.03,-0.5,-0.5
2585,Jean-Clair Todibo\Jean-Clair-Todibo,fr FRA,DF,Nice,fr Ligue 1,20,1999,14.8,1,7,1,14.3,0.47,0.07,0.14,1,10.6,0,0,0,0.6,0.6,0.08,0.4,0.4
2586,Karl Toko Ekambi\Karl-Toko-Ekambi,cm CMR,FW,Lyon,fr Ligue 1,27,1992,31.2,14,92,38,41.3,2.95,1.22,0.15,0.37,13.3,0,0,0,18.2,18.2,0.2,-4.2,-4.2
2587,Corentin Tolisso\Corentin-Tolisso,fr FRA,MF,Bayern Munich,de Bundesliga,25,1994,8.7,1,12,7,58.3,1.38,0.81,0.08,0.14,13.4,0,0,0,2.3,2.3,0.19,-1.3,-1.3
2588,Jeremy Toljan\Jeremy-Toljan,de GER,DF,Sassuolo,it Serie A,25,1994,16.6,0,6,1,16.7,0.36,0.06,0,0,18.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5
2589,Rafael Tolói\Rafael-Toloi,it ITA,DF,Atalanta,it Serie A,29,1990,28.2,2,27,8,29.6,0.96,0.28,0.07,0.25,12.8,0,0,0,3.5,3.5,0.13,-1.5,-1.5
2590,Takehiro Tomiyasu\Takehiro-Tomiyasu,jp JPN,DF,Bologna,it Serie A,21,1998,30.2,2,16,4,25,0.53,0.13,0.13,0.5,15.2,0,0,0,1.2,1.2,0.08,0.8,0.8
2591,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,eng Premier League,31,1989,6.1,0,2,0,0,0.33,0,0,,7.5,0,0,0,0.2,0.2,0.09,-0.2,-0.2
2592,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,eng Premier League,22,1997,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
2593,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Milan,it Serie A,22,1997,16.3,1,5,4,80,0.31,0.25,0.2,0.25,8.9,0,0,0,0.4,0.4,0.08,0.6,0.6
2594,Sandro Tonali\Sandro-Tonali,it ITA,MF,Milan,it Serie A,20,2000,14.8,0,9,3,33.3,0.61,0.2,0,0,22.3,1,0,0,0.5,0.5,0.05,-0.5,-0.5
2595,Lorenzo Tonelli\Lorenzo-Tonelli,it ITA,DF,Sampdoria,it Serie A,30,1990,19.8,1,12,2,16.7,0.61,0.1,0.08,0.5,9.3,0,0,0,1.3,1.3,0.11,-0.3,-0.3
2596,Toño\Tono,es ESP,DF,Levante,es La Liga,30,1989,8.1,0,2,0,0,0.25,0,0,,26.8,0,0,0,0,0,0.02,0,0
2597,Ömer Toprak\Omer-Toprak,tr TUR,DF,Werder Bremen,de Bundesliga,31,1989,21.6,2,11,5,45.5,0.51,0.23,0.18,0.4,11.2,0,0,0,0.9,0.9,0.08,1.1,1.1
2598,Tyron Tormin\Tyron-Tormin,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19,2001,0.2,0,1,0,0,4.29,0,0,,23.3,0,0,0,0,0,0.03,0,0
2599,Ernesto Torregrossa\Ernesto-Torregrossa,it ITA,FW,Sampdoria,it Serie A,28,1992,1.9,1,4,2,50,2.12,1.06,0.25,0.5,9.3,0,0,0,0.6,0.6,0.14,0.4,0.4
2600,Lucas Torreira\Lucas-Torreira,uy URU,MFFW,Atlético Madrid,es La Liga,24,1996,5.8,1,3,1,33.3,0.52,0.17,0.33,1,34.6,0,0,0,0.2,0.2,0.08,0.8,0.8
2601,Ferrán Torres\Ferran-Torres,es ESP,FWMF,Manchester City,eng Premier League,20,2000,14.5,7,36,14,38.9,2.48,0.96,0.19,0.5,15,0,0,0,5.4,5.4,0.15,1.6,1.6
2602,Óliver Torres\Oliver-Torres,es ESP,MFFW,Sevilla,es La Liga,25,1994,15.6,0,10,3,30,0.64,0.19,0,0,18.1,0,0,0,0.8,0.8,0.08,-0.8,-0.8
2603,Pau Torres\Pau-Torres,es ESP,DF,Villarreal,es La Liga,23,1997,33,2,8,3,37.5,0.24,0.09,0.25,0.67,7.3,0,0,0,1.2,1.2,0.16,0.8,0.8
2604,Roberto Torres\Roberto-Torres,es ESP,MFFW,Osasuna,es La Liga,31,1989,21,7,42,9,21.4,2,0.43,0.07,0.33,24.3,3,4,5,6.2,2.4,0.06,0.8,0.6
2605,Lucas Torró\Lucas-Torro,es ESP,MF,Osasuna,es La Liga,26,1994,17.2,0,17,7,41.2,0.99,0.41,0,0,21.2,1,0,0,1.5,1.5,0.09,-1.5,-1.5
2606,Jordan Torunarigha\Jordan-Torunarigha,de GER,DF,Hertha BSC,de Bundesliga,22,1997,10.8,0,4,1,25,0.37,0.09,0,0,15.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
2607,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,eng Premier League,29,1991,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
