Rk,Player,Nation,Pos,Squad,Comp,Age,Born
248,Héctor Bellerín\Hector-Bellerin,ESP,DF,Arsenal,eng Premier League,25,1995
249,Jude Bellingham\Jude-Bellingham,ENG,MF,Dortmund,de Bundesliga,17,2003
250,Andrea Belotti\Andrea-Belotti,ITA,FW,Torino,it Serie A,26,1993
251,Fran Beltrán\Fran-Beltran,ESP,MF,Celta Vigo,es La Liga,21,1999
252,Sami Ben Amar\Sami-Ben-Amar,MAR,MF,Nîmes,fr Ligue 1,22,1998
253,Hatem Ben Arfa\Hatem-Ben-Arfa,FRA,MFFW,Bordeaux,fr Ligue 1,33,1987
254,Salim Ben Seghir\Salim-Ben-Seghir,FRA,DF,Nice,fr Ligue 1,17,2003
255,Wissam Ben Yedder\Wissam-Ben-Yedder,FRA,FW,Monaco,fr Ligue 1,29,1990
256,Ahmad Benali\Ahmad-Benali,LBY,MF,Crotone,it Serie A,28,1992
257,Samy Benchama\Samy-Benchama,FRA,MFDF,Montpellier,fr Ligue 1,20,2000
258,Lars Bender\Lars-Bender,GER,DF,Leverkusen,de Bundesliga,31,1989
259,Sven Bender\Sven-Bender,GER,DF,Leverkusen,de Bundesliga,31,1989
260,Darío Benedetto\Dario-Benedetto,ARG,FW,Marseille,fr Ligue 1,30,1990
261,László Bénes\Laszlo-Benes,SVK,MFFW,Augsburg,de Bundesliga,22,1997
262,László Bénes\Laszlo-Benes,SVK,MF,M'Gladbach,de Bundesliga,22,1997
263,Walter Benítez\Walter-Benitez,ARG,GK,Nice,fr Ligue 1,27,1993
264,Loris Benito\Loris-Benito,SUI,DF,Bordeaux,fr Ligue 1,28,1992
265,Sergio Benito\Sergio-Benito,ESP,FW,Valladolid,es La Liga,21,1999
266,Bilal Benkhedim\Bilal-Benkhedim,FRA,FW,Saint-Étienne,fr Ligue 1,19,2001
267,Djamel Benlamri\Djamel-Benlamri,ALG,DF,Lyon,fr Ligue 1,30,1989
268,Ismaël Bennacer\Ismael-Bennacer,ALG,MF,Milan,it Serie A,22,1997
269,Saïd Benrahma\Said-Benrahma,ALG,FWMF,West Ham,eng Premier League,24,1995
270,Yassine Benrahou\Yassine-Benrahou,FRA,MF,Nîmes,fr Ligue 1,21,1999
271,Ramy Bensebaini\Ramy-Bensebaini,ALG,DF,M'Gladbach,de Bundesliga,25,1995
272,Josh Benson\Josh-Benson,ENG,MF,Burnley,eng Premier League,20,1999
273,Nabil Bentaleb\Nabil-Bentaleb,ALG,MF,Schalke 04,de Bundesliga,25,1994
274,Rodrigo Bentancur\Rodrigo-Bentancur,URU,MF,Juventus,it Serie A,23,1997
275,Christian Benteke\Christian-Benteke,BEL,FW,Crystal Palace,eng Premier League,29,1990
276,Karim Benzema\Karim-Benzema,FRA,FW,Real Madrid,es La Liga,32,1987
277,Yassine Benzia\Yassine-Benzia,ALG,MFFW,Dijon,fr Ligue 1,25,1994
278,Alessandro Berardi\Alessandro-Berardi,ITA,GK,Hellas Verona,it Serie A,29,1991
279,Domenico Berardi\Domenico-Berardi,ITA,FWMF,Sassuolo,it Serie A,25,1994
280,Gaetano Berardi\Gaetano-Berardi,SUI,DF,Leeds United,eng Premier League,31,1988
281,Yuri Berchiche\Yuri-Berchiche,ESP,DF,Athletic Club,es La Liga,30,1990
282,Álex Berenguer\Alex-Berenguer,ESP,MF,Torino,it Serie A,25,1995
283,Álex Berenguer\Alex-Berenguer,ESP,MFFW,Athletic Club,es La Liga,25,1995
284,Bartosz Bereszyński\Bartosz-Bereszynski,POL,DF,Sampdoria,it Serie A,28,1992
285,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,ISL,MF,Burnley,eng Premier League,29,1990
286,Sander Berge\Sander-Berge,NOR,MF,Sheffield Utd,eng Premier League,22,1998
287,Steven Bergwijn\Steven-Bergwijn,NED,FWMF,Tottenham,eng Premier League,22,1997
288,Valon Berisha\Valon-Berisha,KVX,MF,Reims,fr Ligue 1,27,1993
289,Bernard\Bernard,BRA,MFFW,Everton,eng Premier League,27,1992
290,Federico Bernardeschi\Federico-Bernardeschi,ITA,DFMF,Juventus,it Serie A,26,1994
291,Bernardo\Bernardo,BRA,DFMF,Brighton,eng Premier League,25,1995
