Unnamed: 0,Playing Time,Playing Time.1,Playing Time.2,Playing Time.3
Rk,MP,Starts,Min,90s
1692,30,30,2693,29.9
1693,1,0,5,0.1
1694,18,8,820,9.1
1695,14,11,920,10.2
1696,16,4,588,6.5
1697,1,0,9,0.1
1698,17,4,414,4.6
1699,14,3,389,4.3
1700,29,21,1853,20.6
1701,26,26,2328,25.9
1702,22,13,1157,12.9
1703,17,15,1297,14.4
1704,22,19,1626,18.1
1705,32,23,2243,24.9
1706,34,30,2671,29.7
1707,33,26,2090,23.2
1708,1,1,61,0.7
1709,2,0,76,0.8
1710,13,11,953,10.6
1711,31,31,2745,30.5
1712,1,1,90,1
1713,26,24,2208,24.5
1714,23,15,1459,16.2
1715,3,1,95,1.1
1716,1,0,5,0.1
1717,16,14,1300,14.4
1718,22,22,1980,22
1719,26,25,2154,23.9
1720,13,4,549,6.1
1721,6,4,418,4.6
1722,29,18,1459,16.2
1723,25,21,1761,19.6
1724,35,35,3150,35
1725,35,33,3023,33.6
1726,36,36,3215,35.7
1727,21,17,1472,16.4
1728,9,8,712,7.9
1729,10,3,351,3.9
1730,20,9,789,8.8
1731,22,10,946,10.5
1732,1,0,16,0.2
1733,2,0,39,0.4
1734,26,13,1154,12.8
1735,1,0,2,0
1736,1,0,15,0.2
1737,21,18,1538,17.1
1738,16,4,698,7.8
1739,34,34,3034,33.7
1740,15,14,1220,13.6
1741,32,32,2746,30.5
1742,5,5,450,5
1743,14,13,1133,12.6
1744,31,27,2359,26.2
1745,16,14,1253,13.9
1746,32,22,1981,22
1747,1,0,2,0
1748,3,0,21,0.2
1749,2,0,41,0.5
1750,26,11,1070,11.9
1751,34,29,2412,26.8
1752,24,23,1937,21.5
1753,10,9,711,7.9
1754,9,2,293,3.3
1755,36,36,3194,35.5
1756,27,23,1901,21.1
1757,38,32,2877,32
1758,26,19,1732,19.2
1759,25,4,675,7.5
1760,22,18,1652,18.4
1761,13,13,1153,12.8
1762,19,19,1710,19
1763,27,13,1402,15.6
1764,32,31,2784,30.9
1765,27,22,1797,20
1766,34,30,2745,30.5
1767,12,7,647,7.2
1768,7,3,293,3.3
1769,8,1,221,2.5
1770,35,32,2733,30.4
1771,32,26,2073,23
1772,27,17,1555,17.3
1773,18,12,1222,13.6
1774,6,0,94,1
1775,11,3,299,3.3
1776,17,14,1204,13.4
1777,2,1,153,1.7
1778,33,17,1615,17.9
1779,29,18,1828,20.3
1780,29,28,2315,25.7
1781,4,0,72,0.8
1782,34,30,2355,26.2
1783,1,0,1,0
1784,5,0,38,0.4
1785,36,28,2660,29.6
1786,10,4,357,4
1787,27,12,1153,12.8
1788,16,7,564,6.3
1789,26,23,2082,23.1
1790,2,0,4,0
1791,37,37,3330,37
1792,22,17,1362,15.1
1793,5,2,239,2.7
1794,11,6,500,5.6
1795,4,1,113,1.3
1796,3,0,18,0.2
1797,32,23,2014,22.4
1798,5,3,267,3
1799,30,16,1363,15.1
1800,28,28,2493,27.7
1801,5,2,193,2.1
1802,23,20,1786,19.8
1803,33,30,2673,29.7
1804,30,23,2019,22.4
1805,13,10,829,9.2
1806,3,0,18,0.2
1807,1,0,11,0.1
1808,26,9,991,11
1809,27,24,2050,22.8
1810,19,6,743,8.3
1811,14,2,422,4.7
1812,26,26,2276,25.3
1813,29,29,2610,29
1814,35,31,2680,29.8
1815,36,32,2890,32.1
1816,30,14,1411,15.7
1817,11,2,296,3.3
1818,33,28,2528,28.1
1819,1,1,82,0.9
1820,1,0,19,0.2
1821,2,2,103,1.1
1822,28,21,1677,18.6
1823,35,32,2870,31.9
1824,28,18,1672,18.6
1825,31,31,2790,31
1826,2,0,4,0
1827,32,31,2674,29.7
1828,4,0,40,0.4
1829,27,21,1928,21.4
1830,28,23,1943,21.6
1831,16,14,1210,13.4
1832,3,0,41,0.5
1833,36,16,1436,16
1834,31,31,2699,30
1835,27,7,832,9.2
1836,26,17,1626,18.1
1837,14,7,569,6.3
1838,14,8,715,7.9
1839,4,2,229,2.5
1840,1,0,34,0.4
1841,32,17,1530,17
1842,26,7,881,9.8
1843,35,35,3147,35
1844,3,0,47,0.5
1845,13,11,1037,11.5
