Player,Nation,Pos,Squad,Born
Pierre Højbjerg\Pierre-Hojbjerg,DEN,MF,Tottenham,1995
Simone Iacoponi\Simone-Iacoponi,ITA,DF,Parma,1987
Iago\Iago,BRA,DF,Augsburg,1997
Roger Ibanez\Roger-Ibanez,BRA,DF,Roma,1998
Vedad Ibišević\Vedad-Ibisevic,BIH,FW,Schalke 04,1984
Vicente Iborra\Vicente-Iborra,ESP,MF,Villarreal,1988
Didier Ibrahim Ndong\Didier-Ibrahim-Ndong,GAB,MF,Dijon,1994
Zlatan Ibrahimović\Zlatan-Ibrahimovic,SWE,FW,Milan,1981
Mauro Icardi\Mauro-Icardi,ARG,FW,Paris S-G,1993
Oussama Idrissi\Oussama-Idrissi,MAR,FWMF,Sevilla,1996
Blendi Idrizi\Blendi-Idrizi,KVX,MF,Schalke 04,1998
Odion Ighalo\Odion-Ighalo,NGA,FW,Manchester Utd,1989
Iglesias\Iglesias,ESP,DFMF,Getafe,1998
Borja Iglesias\Borja-Iglesias,ESP,FW,Betis,1993
Igor\Igor,BRA,DF,Fiorentina,1998
Kelechi Iheanacho\Kelechi-Iheanacho,NGA,FW,Leicester City,1996
Jonathan Ikone\Jonathan-Ikone,FRA,MFFW,Lille,1998
Yun Il-lok\Yun-Il-lok,KOR,MFFW,Montpellier,1992
Ilaix\Ilaix,ESP,MF,Barcelona,2003
Ivan Ilić\Ivan-Ilic,SRB,MF,Hellas Verona,2001
Josip Iličić\Josip-Ilicic,SVN,FWMF,Atalanta,1988
Asier Illarramendi\Asier-Illarramendi,ESP,MF,Real Sociedad,1990
Stefan Ilsanker\Stefan-Ilsanker,AUT,MFDF,Eint Frankfurt,1989
Ciro Immobile\Ciro-Immobile,ITA,FW,Lazio,1990
Riccardo Improta\Riccardo-Improta,ITA,MFDF,Benevento,1993
Roberto Inglese\Roberto-Inglese,ITA,FW,Parma,1991
Danny Ings\Danny-Ings,ENG,FW,Southampton,1992
Marcus Ingvartsen\Marcus-Ingvartsen,DEN,MFFW,Union Berlin,1996
Lorenzo Insigne\Lorenzo-Insigne,ITA,FW,Napoli,1991
Roberto Insigne\Roberto-Insigne,ITA,MFFW,Benevento,1994
Pablo Insua\Pablo-Insua,ESP,DF,Huesca,1993
Takashi Inui\Takashi-Inui,JPN,MFFW,Eibar,1988
Artur Ioniță\Artur-Ionita,MDA,MF,Benevento,1990
Alexander Isak\Alexander-Isak,SWE,FW,Real Sociedad,1999
Isco\Isco,ESP,MFFW,Real Madrid,1992
Ardian Ismajli\Ardian-Ismajli,ALB,DF,Spezia,1996
Branislav Ivanović\Branislav-Ivanovic,SRB,DF,West Brom,1984
Alex Iwobi\Alex-Iwobi,NGA,FWDF,Everton,1996
Jairo Izquierdo\Jairo-Izquierdo,ESP,MFDF,Cádiz,1993
José Izquierdo\Jose-Izquierdo,COL,DFMF,Brighton,1992
Armando Izzo\Armando-Izzo,ITA,DF,Torino,1992
Phil Jagielka\Phil-Jagielka,ENG,DF,Sheffield Utd,1982
Alireza Jahanbakhsh\Alireza-Jahanbakhsh,IRN,FWMF,Brighton,1993
Mato Jajalo\Mato-Jajalo,BIH,MF,Udinese,1988
Ismail Jakobs\Ismail-Jakobs,GER,DFMF,Köln,1999
Daniel James\Daniel-James,WAL,FW,Manchester Utd,1997
Reece James\Reece-James,ENG,DF,Chelsea,1999
Alexandre Jankewitz\Alexandre-Jankewitz,SUI,MF,Southampton,2001
Saidy Janko\Saidy-Janko,SUI,DF,Valladolid,1995
Jakub Jankto\Jakub-Jankto,CZE,MF,Sampdoria,1996
Tony Jantschke\Tony-Jantschke,GER,DF,M'Gladbach,1990
Adnan Januzaj\Adnan-Januzaj,BEL,FWMF,Real Sociedad,1995
Rune Jarstein\Rune-Jarstein,NOR,GK,Hertha BSC,1984
Jason\Jason,ESP,MFDF,Valencia,1994
Luis Javier Suárez\Luis-Javier-Suarez,COL,FWMF,Granada,1997
Corentin Jean\Corentin-Jean,FRA,FWMF,Lens,1995
Daniel Jebbison\Daniel-Jebbison,ENG,FW,Sheffield Utd,2003
Tin Jedvaj\Tin-Jedvaj,CRO,DF,Leverkusen,1995
Fredrik Jensen\Fredrik-Jensen,FIN,FWMF,Augsburg,1997
Jesé\Jese,ESP,FW,Paris S-G,1993
Gabriel Jesus\Gabriel-Jesus,BRA,FW,Manchester City,1997
Juan Jesus\Juan-Jesus,BRA,DF,Roma,1991
Raúl Jiménez\Raul-Jimenez,MEX,FW,Wolves,1991
Joaquín\Joaquin,ESP,FWMF,Betis,1981
John Joe\John-Joe,IRL,MFDF,Getafe,2003
Joelinton\Joelinton,BRA,FWMF,Newcastle Utd,1996
Marco John\Marco-John,GER,DF,Hoffenheim,2002
Ben Johnson\Ben-Johnson,ENG,DF,West Ham,2000
Sam Johnstone\Sam-Johnstone,ENG,GK,West Brom,1993
Curtis Jones\Curtis-Jones,ENG,MF,Liverpool,2001
Frenkie de Jong\Frenkie-de-Jong,NED,MFDF,Barcelona,1997
Luuk de Jong\Luuk-de-Jong,NED,FW,Sevilla,1990
Jony\Jony,ESP,MFFW,Osasuna,1991
Joan Jordán\Joan-Jordan,ESP,MF,Sevilla,1994
Jorginho\Jorginho,ITA,MF,Chelsea,1991
Josan\Josan,ESP,MFDF,Elche,1989
Willian José\Willian-Jose,BRA,FW,Wolves,1991
Willian José\Willian-Jose,BRA,FW,Real Sociedad,1991
Joselu\Joselu,ESP,FW,Alavés,1990
Josema\Josema,ESP,DF,Elche,1996
Jota\Jota,POR,FW,Valladolid,1999
Jota\Jota,ESP,MF,Alavés,1991
Diogo Jota\Diogo-Jota,POR,FW,Liverpool,1996
Stevan Jovetić\Stevan-Jovetic,MNE,FWMF,Monaco,1989
Luka Jović\Luka-Jovic,SRB,FWMF,Real Madrid,1997
Luka Jović\Luka-Jovic,SRB,FWMF,Eint Frankfurt,1997
Juanmi\Juanmi,ESP,FWMF,Betis,1993
Hamed Junior Traorè\Hamed-Junior-Traore,CIV,FWMF,Sassuolo,2000
Vinicius Júnior\Vinicius-Junior,BRA,FW,Real Madrid,2000
James Justin\James-Justin,ENG,DF,Leicester City,1998
Musa Juwara\Musa-Juwara,GAM,DF,Bologna,2001
Jens Jønsson\Jens-Jonsson,DEN,MF,Cádiz,1993
Ozan Kabak\Ozan-Kabak,TUR,DF,Liverpool,2000
Ozan Kabak\Ozan-Kabak,TUR,DF,Schalke 04,2000
Abdoul Kader Bamba\Abdoul-Kader-Bamba,FRA,FWMF,Nantes,1994
Pavel Kadeřábek\Pavel-Kaderabek,CZE,DF,Hoffenheim,1992
Tino Kadewere\Tino-Kadewere,ZIM,FW,Lyon,1996
Damian Kądzior\Damian-Kadzior,POL,FWMF,Eibar,1992
Florian Kainz\Florian-Kainz,AUT,FWMF,Köln,1992
Gaël Kakuta\Gael-Kakuta,COD,MFFW,Lens,1991
Sasa Kalajdzic\Sasa-Kalajdzic,AUT,FW,Stuttgart,1997
Arnaud Kalimuendo\Arnaud-Kalimuendo,FRA,FW,Paris S-G,2002
Arnaud Kalimuendo\Arnaud-Kalimuendo,FRA,FW,Lens,2002
Nikola Kalinić\Nikola-Kalinic,CRO,FW,Hellas Verona,1988
Yayah Kallon\Yayah-Kallon,SLE,MFFW,Genoa,2001
Samuel Kalu\Samuel-Kalu,NGA,FWMF,Bordeaux,1997
Pierre Kalulu\Pierre-Kalulu,FRA,DF,Milan,2000
Daichi Kamada\Daichi-Kamada,JPN,MFFW,Eint Frankfurt,1996
Aboubakar Kamara\Aboubakar-Kamara,MTN,FWDF,Fulham,1995
Aboubakar Kamara\Aboubakar-Kamara,MTN,FWMF,Dijon,1995
Bingourou Kamara\Bingourou-Kamara,SEN,GK,Strasbourg,1996
Boubacar Kamara\Boubacar-Kamara,FRA,MF,Marseille,1999
Hassane Kamara\Hassane-Kamara,CIV,DF,Nice,1994
Marcin Kamiński\Marcin-Kaminski,POL,DF,Stuttgart,1992
Kevin Kampl\Kevin-Kampl,SVN,MF,RB Leipzig,1990
Harry Kane\Harry-Kane,ENG,FW,Tottenham,1993
Wilfried Kanga\Wilfried-Kanga,FRA,FW,Angers,1998
Lee Kangin\Lee-Kangin,KOR,FWMF,Valencia,2001
N'Golo Kanté\NGolo-Kante,FRA,MF,Chelsea,1991
Jimmy Kaparos\Jimmy-Kaparos,GER,MF,Schalke 04,2001
Yann Karamoh\Yann-Karamoh,FRA,FWMF,Parma,1998
Isaac Karamoko\Isaac-Karamoko,FRA,DF,Sassuolo,2002
Atakan Karazor\Atakan-Karazor,GER,DFMF,Stuttgart,1996
Augustus Kargbo\Augustus-Kargbo,SLE,FW,Crotone,1999
Loris Karius\Loris-Karius,GER,GK,Union Berlin,1993
Rick Karsdorp\Rick-Karsdorp,NED,DF,Roma,1995
Noah Katterbach\Noah-Katterbach,GER,DF,Köln,2001
Eiji Kawashima\Eiji-Kawashima,JPN,GK,Strasbourg,1983
Moise Kean\Moise-Kean,ITA,FW,Everton,2000
Moise Kean\Moise-Kean,ITA,FW,Paris S-G,2000
Michael Keane\Michael-Keane,ENG,DF,Everton,1993
Neeskens Kebano\Neeskens-Kebano,COD,FWMF,Fulham,1992
Thilo Kehrer\Thilo-Kehrer,GER,DF,Paris S-G,1996
Habib Keita\Habib-Keita,MLI,MF,Lyon,2002
Naby Keïta\Naby-Keita,GUI,MF,Liverpool,1995
Yannik Keitel\Yannik-Keitel,GER,MF,Freiburg,2000
Caoimhín Kelleher\Caoimhin-Kelleher,IRL,GK,Liverpool,1998
Stephane Keller\Stephane-Keller,CMR,DF,Alavés,2001
Martin Kelly\Martin-Kelly,ENG,DF,Crystal Palace,1990
Marc-Oliver Kempf\Marc-Oliver-Kempf,GER,DF,Stuttgart,1995
Kenedy\Kenedy,BRA,FWMF,Granada,1996
Jonjoe Kenny\Jonjoe-Kenny,ENG,DF,Everton,1997
Franck Kessié\Franck-Kessie,CIV,MF,Milan,1996
Reda Khadra\Reda-Khadra,GER,FW,Brighton,2001
Omar Khailoti\Omar-Khailoti,ITA,DF,Bologna,2001
Saîf-Eddine Khaoui\Saif-Eddine-Khaoui,TUN,FWMF,Marseille,1995
Wahbi Khazri\Wahbi-Khazri,TUN,FW,Saint-Étienne,1991
Rani Khedira\Rani-Khedira,GER,MF,Augsburg,1994
Sami Khedira\Sami-Khedira,GER,MF,Hertha BSC,1987
Kike\Kike,ESP,FW,Eibar,1989
Luca Kilian\Luca-Kilian,GER,DF,Mainz 05,1999
Max Kilman\Max-Kilman,ENG,DF,Wolves,1997
Joshua Kimmich\Joshua-Kimmich,GER,MF,Bayern Munich,1995
Presnel Kimpembe\Presnel-Kimpembe,FRA,DF,Paris S-G,1995
Joshua King\Joshua-King,NOR,MFFW,Everton,1992
Giorgos Kiriakopoulos\Giorgos-Kiriakopoulos,GRE,DF,Sassuolo,1996
Simon Kjær\Simon-Kjaer,DEN,DF,Milan,1989
Davy Klaassen\Davy-Klaassen,NED,MF,Werder Bremen,1993
Felix Klaus\Felix-Klaus,GER,DFMF,Wolfsburg,1992
Klauss\Klauss,BRA,FW,Hoffenheim,1997
Ragnar Klavan\Ragnar-Klavan,EST,DF,Cagliari,1985
Philipp Klement\Philipp-Klement,GER,MFFW,Stuttgart,1992
Mateusz Klich\Mateusz-Klich,POL,MF,Leeds United,1990
Mateo Klimowicz\Mateo-Klimowicz,GER,FWMF,Stuttgart,2000
Fabian Klos\Fabian-Klos,GER,FW,Arminia,1987
Lukas Klostermann\Lukas-Klostermann,GER,DF,RB Leipzig,1996
Justin Kluivert\Justin-Kluivert,NED,FWMF,Roma,1999
Justin Kluivert\Justin-Kluivert,NED,FW,RB Leipzig,1999
Lukas Klünter\Lukas-Klunter,GER,DF,Hertha BSC,1996
Ansgar Knauff\Ansgar-Knauff,GER,FWMF,Dortmund,2002
Robin Knoche\Robin-Knoche,GER,DF,Union Berlin,1992
Gregor Kobel\Gregor-Kobel,SUI,GK,Stuttgart,1997
Robin Koch\Robin-Koch,GER,DFMF,Leeds United,1996
Giorgi Kochorashvili\Giorgi-Kochorashvili,GEO,MF,Levante,1999
Kenan Kodro\Kenan-Kodro,BIH,FW,Valladolid,1993
Kenan Kodro\Kenan-Kodro,BIH,FWMF,Athletic Club,1993
Dominik Kohr\Dominik-Kohr,GER,MF,Mainz 05,1994
Dominik Kohr\Dominik-Kohr,GER,MFFW,Eint Frankfurt,1994
Koba Koindredi\Koba-Koindredi,FRA,MF,Valencia,2001
Koke\Koke,ESP,MF,Atlético Madrid,1992
Aleksandr Kokorin\Aleksandr-Kokorin,RUS,FWMF,Fiorentina,1991
Aleksandar Kolarov\Aleksandar-Kolarov,SRB,DF,Inter,1985
Sead Kolašinac\Sead-Kolasinac,BIH,DF,Arsenal,1993
Sead Kolašinac\Sead-Kolasinac,BIH,DFMF,Schalke 04,1993
Randal Kolo Muani\Randal-Kolo-Muani,FRA,FW,Nantes,1998
Timothée Kolodziejczak\Timothee-Kolodziejczak,FRA,DF,Saint-Étienne,1991
Ghislain Konan\Ghislain-Konan,CIV,DF,Reims,1995
Ibrahima Konaté\Ibrahima-Konate,FRA,DF,RB Leipzig,1999
Moussa Konaté\Moussa-Konate,SEN,FW,Dijon,1993
Geoffrey Kondogbia\Geoffrey-Kondogbia,CTA,MFFW,Atlético Madrid,1993
Geoffrey Kondogbia\Geoffrey-Kondogbia,CTA,MF,Valencia,1993
Lamine Koné\Lamine-Kone,CIV,DF,Strasbourg,1989
Moussa Koné\Moussa-Kone,SEN,FW,Nîmes,1996
Youssouf Koné\Youssouf-Kone,MLI,DFFW,Elche,1995
Terence Kongolo\Terence-Kongolo,NED,DF,Fulham,1994
Ezri Konsa\Ezri-Konsa,ENG,DF,Aston Villa,1997
Laurent Koscielny\Laurent-Koscielny,FRA,DF,Bordeaux,1985
Filip Kostić\Filip-Kostic,SRB,DF,Eint Frankfurt,1992
Márk Kosznovszky\Mark-Kosznovszky,HUN,MF,Parma,2002
Christian Kouamé\Christian-Kouame,CIV,FW,Fiorentina,1997
Nianzou Kouassi\Nianzou-Kouassi,FRA,DFMF,Bayern Munich,2002
Kalidou Koulibaly\Kalidou-Koulibaly,SEN,DF,Napoli,1991
Jules Koundé\Jules-Kounde,FRA,DF,Sevilla,1998
Boubakar Kouyaté\Boubakar-Kouyate,MLI,DF,Metz,1997
Cheikhou Kouyaté\Cheikhou-Kouyate,SEN,DF,Crystal Palace,1989
Mateo Kovačić\Mateo-Kovacic,CRO,MF,Chelsea,1994
Viktor Kovalenko\Viktor-Kovalenko,UKR,FW,Atalanta,1996
Emil Krafth\Emil-Krafth,SWE,DF,Newcastle Utd,1994
Andrej Kramarić\Andrej-Kramaric,CRO,FWMF,Hoffenheim,1991
Christoph Kramer\Christoph-Kramer,GER,MF,M'Gladbach,1991
Jean-Philippe Krasso\Jean-Philippe-Krasso,FRA,FW,Saint-Étienne,1997
Toni Kroos\Toni-Kroos,GER,MF,Real Madrid,1990
Filip Krovinović\Filip-Krovinovic,CRO,MF,West Brom,1995
Rade Krunić\Rade-Krunic,BIH,MFFW,Milan,1993
Max Kruse\Max-Kruse,GER,FWMF,Union Berlin,1988
Lukas Kübler\Lukas-Kubler,GER,DF,Freiburg,1992
Takefusa Kubo\Takefusa-Kubo,JPN,MFFW,Villarreal,2001
Takefusa Kubo\Takefusa-Kubo,JPN,MFFW,Getafe,2001
Juraj Kucka\Juraj-Kucka,SVK,MFFW,Parma,1987
Kuki\Kuki,ESP,MF,Valladolid,1998
Dejan Kulusevski\Dejan-Kulusevski,SWE,MFFW,Juventus,2000
Marash Kumbulla\Marash-Kumbulla,ALB,DF,Roma,2000
Pierre Kunde\Pierre-Kunde,CMR,MF,Mainz 05,1995
Fabian Kunze\Fabian-Kunze,GER,MF,Arminia,1998
Jasmin Kurtić\Jasmin-Kurtic,SVN,MF,Parma,1989
Layvin Kurzawa\Layvin-Kurzawa,FRA,DF,Paris S-G,1992
Dereck Kutesa\Dereck-Kutesa,SUI,MFFW,Reims,1997
Ahmed Kutucu\Ahmed-Kutucu,TUR,FWMF,Schalke 04,2000
Enock Kwateng\Enock-Kwateng,FRA,DF,Bordeaux,1997
Antonino La Gumina\Antonino-La-Gumina,ITA,FW,Sampdoria,1996
Gaëtan Laborde\Gaetan-Laborde,FRA,FWMF,Montpellier,1994
Alexandre Lacazette\Alexandre-Lacazette,FRA,FW,Arsenal,1991
Tom Lacoux\Tom-Lacoux,FRA,MF,Bordeaux,2002
Maxence Lacroix\Maxence-Lacroix,FRA,DF,Wolfsburg,2000
Alban Lafont\Alban-Lafont,FRA,GK,Nantes,1999
Víctor Laguardia\Victor-Laguardia,ESP,DF,Alavés,1989
Konrad Laimer\Konrad-Laimer,AUT,DFFW,RB Leipzig,1997
Stefan Lainer\Stefan-Lainer,AUT,DF,M'Gladbach,1992
Diego Lainez\Diego-Lainez,MEX,FW,Betis,2000
Kenny Lala\Kenny-Lala,FRA,DF,Strasbourg,1991
Adam Lallana\Adam-Lallana,ENG,MFFW,Brighton,1988
Érik Lamela\Erik-Lamela,ARG,FWMF,Tottenham,1992
Sam Lammers\Sam-Lammers,NED,FWMF,Atalanta,1997
Tariq Lamptey\Tariq-Lamptey,ENG,DF,Brighton,2000
Loïck Landre\Loick-Landre,FRA,DF,Nîmes,1992
Michael Langer\Michael-Langer,AUT,GK,Schalke 04,1985
Manuel Lanzini\Manuel-Lanzini,ARG,MFFW,West Ham,1993
Gianluca Lapadula\Gianluca-Lapadula,PER,FW,Benevento,1990
Aymeric Laporte\Aymeric-Laporte,ESP,DF,Manchester City,1994
Julien Laporte\Julien-Laporte,FRA,DF,Lorient,1993
Danilo Larangeira\Danilo-Larangeira,BRA,DF,Bologna,1984
Gautier Larsonneur\Gautier-Larsonneur,FRA,GK,Brest,1997
Kevin Lasagna\Kevin-Lasagna,ITA,FW,Udinese,1992
Kevin Lasagna\Kevin-Lasagna,ITA,FW,Hellas Verona,1992
Jamaal Lascelles\Jamaal-Lascelles,ENG,DF,Newcastle Utd,1993
Paul Lasne\Paul-Lasne,FRA,MF,Brest,1989
Toni Lato\Toni-Lato,ESP,DF,Valencia,1997
Danny Latza\Danny-Latza,GER,MF,Mainz 05,1989
Armand Lauriente\Armand-Lauriente,FRA,FWMF,Lorient,1998
Vincent Laurini\Vincent-Laurini,FRA,DF,Parma,1989
Lauti\Lauti,URU,MFFW,Celta Vigo,2001
Wesley Lautoa\Wesley-Lautoa,NCL,MFDF,Dijon,1987
Valentino Lazaro\Valentino-Lazaro,AUT,DFFW,M'Gladbach,1996
Darko Lazović\Darko-Lazovic,SRB,DF,Hellas Verona,1990
Manuel Lazzari\Manuel-Lazzari,ITA,DF,Lazio,1993
Jérémy Le Douaron\Jeremy-Le-Douaron,FRA,FWMF,Brest,1998
Enzo Le Fée\Enzo-Le-Fee,FRA,MFFW,Lorient,2000
Vincent Le Goff\Vincent-Le-Goff,FRA,DF,Lorient,1989
Maxime Le Marchand\Maxime-Le-Marchand,FRA,DF,Fulham,1989
Robin Le Normand\Robin-Le-Normand,FRA,DF,Real Sociedad,1996
Damien Le Tallec\Damien-Le-Tallec,FRA,MFDF,Montpellier,1990
James Lea Siliki\James-Lea-Siliki,CMR,MF,Rennes,1996
Rafael Leão\Rafael-Leao,POR,FW,Milan,1999
Jean-Louis Leca\Jean-Louis-Leca,FRA,GK,Lens,1985
Mathew Leckie\Mathew-Leckie,AUS,FWDF,Hertha BSC,1991
Benjamin Lecomte\Benjamin-Lecomte,FRA,GK,Monaco,1991
Jeremías Ledesma\Jeremias-Ledesma,ARG,GK,Cádiz,1993
Pierre Lees-Melou\Pierre-Lees-Melou,FRA,MF,Nice,1993
Lucas Leiva\Lucas-Leiva,BRA,MF,Lazio,1987
Florian Lejeune\Florian-Lejeune,FRA,DF,Alavés,1991
Iñigo Lekue\Inigo-Lekue,ESP,DF,Athletic Club,1993
Thomas Lemar\Thomas-Lemar,FRA,MF,Atlético Madrid,1995
Mario Lemina\Mario-Lemina,GAB,MF,Fulham,1993
Fabien Lemoine\Fabien-Lemoine,FRA,MF,Lorient,1987
Clément Lenglet\Clement-Lenglet,FRA,DF,Barcelona,1995
Bernd Leno\Bernd-Leno,GER,GK,Arsenal,1992
Christopher Lenz\Christopher-Lenz,GER,DF,Union Berlin,1994
Pedro León\Pedro-Leon,ESP,MFFW,Eibar,1986
Sergio León\Sergio-Leon,ESP,FW,Levante,1989
Lukas Lerager\Lukas-Lerager,DEN,MF,Genoa,1993
Mehdi Léris\Mehdi-Leris,FRA,DFMF,Sampdoria,1998
Khanya Leshabela\Khanya-Leshabela,RSA,MF,Leicester City,1999
Karlo Letica\Karlo-Letica,CRO,GK,Sampdoria,1997
Gaetano Letizia\Gaetano-Letizia,ITA,DF,Benevento,1990
Robert Lewandowski\Robert-Lewandowski,POL,FW,Bayern Munich,1988
Jamal Lewis\Jamal-Lewis,NIR,DF,Newcastle Utd,1998
Aaron Leya Iseka\Aaron-Leya-Iseka,BEL,FW,Metz,1997
Yanis Lhery\Yanis-Lhery,FRA,MFFW,Saint-Étienne,2003
Dimitri Liénard\Dimitri-Lienard,FRA,MF,Strasbourg,1988
Philipp Lienhart\Philipp-Lienhart,AUT,DF,Freiburg,1996
Matthijs de Ligt\Matthijs-de-Ligt,NED,DF,Juventus,1999
Isaac Lihadji\Isaac-Lihadji,FRA,MFDF,Lille,2002
Dimitris Limnios\Dimitris-Limnios,GRE,MFFW,Köln,1998
Victor Lindelöf\Victor-Lindelof,SWE,DF,Manchester Utd,1994
Karol Linetty\Karol-Linetty,POL,MF,Torino,1995
Jesse Lingard\Jesse-Lingard,ENG,MFFW,West Ham,1992
Pol Lirola\Pol-Lirola,ESP,DFFW,Fiorentina,1997
Pol Lirola\Pol-Lirola,ESP,DF,Marseille,1997
Jake Livermore\Jake-Livermore,ENG,MF,West Brom,1989
Diego Llorente\Diego-Llorente,ESP,DF,Leeds United,1993
Diego Llorente\Diego-Llorente,ESP,DF,Real Sociedad,1993
Fernando Llorente\Fernando-Llorente,ESP,FW,Udinese,1985
Fernando Llorente\Fernando-Llorente,ESP,FWMF,Napoli,1985
Marcos Llorente\Marcos-Llorente,ESP,MFDF,Atlético Madrid,1995
Hugo Lloris\Hugo-Lloris,FRA,GK,Tottenham,1986
Giovani Lo Celso\Giovani-Lo-Celso,ARG,MF,Tottenham,1996
Stanislav Lobotka\Stanislav-Lobotka,SVK,MF,Napoli,1994
Manuel Locatelli\Manuel-Locatelli,ITA,MF,Sassuolo,1998
Renan Lodi\Renan-Lodi,BRA,DF,Atlético Madrid,1998
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,ENG,FW,Chelsea,1996
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,ENG,MFFW,Fulham,1996
Niklas Lomb\Niklas-Lomb,GER,GK,Leverkusen,1993
Kevin Long\Kevin-Long,IRL,DF,Burnley,1990
Shane Long\Shane-Long,IRL,FWMF,Southampton,1987
Matthew Longstaff\Matthew-Longstaff,ENG,MF,Newcastle Utd,2000
Sean Longstaff\Sean-Longstaff,ENG,MF,Newcastle Utd,1997
Ademola Lookman\Ademola-Lookman,ENG,FWMF,Fulham,1997
Anthony Lopes\Anthony-Lopes,POR,GK,Lyon,1990
Rony Lopes\Rony-Lopes,POR,FWMF,Nice,1995
Pedro López Muñoz\Pedro-Lopez-Munoz,ESP,DF,Huesca,1983
Adrián López\Adrian-Lopez,ESP,FWMF,Osasuna,1988
Javi López\Javi-Lopez,ESP,DFMF,Alavés,2002
Maxime Lopez\Maxime-Lopez,FRA,MF,Sassuolo,1997
Maxime Lopez\Maxime-Lopez,FRA,FWMF,Marseille,1997
Pau López\Pau-Lopez,ESP,GK,Roma,1994
Roberto López\Roberto-Lopez,ESP,MFFW,Real Sociedad,2000
Unai López\Unai-Lopez,ESP,MF,Athletic Club,1995
Dion Lopy\Dion-Lopy,SEN,MF,Reims,2002
Jordan Lotomba\Jordan-Lotomba,SUI,DF,Nice,1998
Adrien Louveau\Adrien-Louveau,FRA,DFMF,Lens,2000
Imran Louza\Imran-Louza,FRA,MF,Nantes,1999
Matteo Lovato\Matteo-Lovato,ITA,DF,Hellas Verona,2000
Max Lowe\Max-Lowe,ENG,DF,Sheffield Utd,1997
Eduard Löwen\Eduard-Lowen,GER,MFDF,Hertha BSC,1997
Matthew Lowton\Matthew-Lowton,ENG,DF,Burnley,1989
Anthony Lozano\Anthony-Lozano,HON,FWMF,Cádiz,1993
Hirving Lozano\Hirving-Lozano,MEX,FW,Napoli,1995
Jan Luca Schuler\Jan-Luca-Schuler,GER,FW,Schalke 04,1999
Jean Lucas\Jean-Lucas,BRA,MF,Lyon,1998
Jean Lucas\Jean-Lucas,BRA,MF,Brest,1998
Anderson Lucoqui\Anderson-Lucoqui,ANG,DF,Arminia,1997
Jeison Lucumí\Jeison-Lucumi,COL,FW,Elche,1995
Kilian Ludewig\Kilian-Ludewig,GER,DF,Schalke 04,2000
José Luis Gayà\Jose-Luis-Gaya,ESP,DF,Valencia,1995
José Luis Morales\Jose-Luis-Morales,ESP,FWMF,Levante,1987
José Luis Palomino\Jose-Luis-Palomino,ARG,DF,Atalanta,1990
Florentino Luís\Florentino-Luis,POR,MF,Monaco,1999
Luisinho\Luisinho,POR,DF,Huesca,1985
Luismi\Luismi,ESP,MFDF,Elche,1992
David Luiz\David-Luiz,BRA,DF,Arsenal,1987
Douglas Luiz\Douglas-Luiz,BRA,MF,Aston Villa,1998
Romelu Lukaku\Romelu-Lukaku,BEL,FW,Inter,1993
Dodi Lukebakio\Dodi-Lukebakio,BEL,FWMF,Hertha BSC,1997
Saša Lukić\Sasa-Lukic,SRB,MF,Torino,1996
Senad Lulić\Senad-Lulic,BIH,DFMF,Lazio,1986
John Lundstram\John-Lundstram,ENG,MF,Sheffield Utd,1994
Sebastiano Luperto\Sebastiano-Luperto,ITA,DF,Crotone,1996
Andreas Luthe\Andreas-Luthe,GER,GK,Union Berlin,1987
Lyanco\Lyanco,BRA,DF,Torino,1997
Charalambos Lykogiannis\Charalambos-Lykogiannis,GRE,DF,Cagliari,1993
Yann M'Vila\Yann-MVila,FRA,MFFW,Saint-Étienne,1990
Alexis Mac Allister\Alexis-Mac-Allister,ARG,MFFW,Brighton,1998
Darwin Machís\Darwin-Machis,VEN,FWMF,Granada,1993
Tim Maciejewski\Tim-Maciejewski,GER,MF,Union Berlin,2001
Luca Mack\Luca-Mack,GER,MF,Stuttgart,2000
Yvann Macon\Yvann-Macon,FRA,DF,Saint-Étienne,1998
James Maddison\James-Maddison,ENG,MFFW,Leicester City,1996
Mikail Maden\Mikail-Maden,NOR,FW,Schalke 04,2002
Pablo Maffeo\Pablo-Maffeo,ESP,DF,Huesca,1997
Lisandro Magallán\Lisandro-Magallan,ARG,DF,Crotone,1993
Christian Maggio\Christian-Maggio,ITA,DF,Benevento,1982
Giulio Maggiore\Giulio-Maggiore,ITA,MF,Spezia,1998
Francesco Magnanelli\Francesco-Magnanelli,ITA,MF,Sassuolo,1984
Giangiacomo Magnani\Giangiacomo-Magnani,ITA,DF,Hellas Verona,1995
Hugo Magnetti\Hugo-Magnetti,FRA,MF,Brest,1998
Harry Maguire\Harry-Maguire,ENG,DF,Manchester Utd,1993
Abdallahi Mahmoud\Abdallahi-Mahmoud,MTN,MF,Alavés,2000
Hicham Mahou\Hicham-Mahou,FRA,DF,Nice,1999
Riyad Mahrez\Riyad-Mahrez,ALG,FW,Manchester City,1991
Arne Maier\Arne-Maier,GER,MF,Arminia,1999
Arne Maier\Arne-Maier,GER,MF,Hertha BSC,1999
Habib Maïga\Habib-Maiga,CIV,MF,Metz,1996
Mike Maignan\Mike-Maignan,FRA,GK,Lille,1995
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,ENG,DF,Arsenal,1997
