Player,Nation,Pos,Squad,Born
Brian Behrendt\Brian-Behrendt,GER,DF,Arminia,1991
Maximilian Beier\Maximilian-Beier,GER,FW,Hoffenheim,2002
Ishak Belfodil\Ishak-Belfodil,ALG,FW,Hoffenheim,1992
Erwan Belhadji\Erwan-Belhadji,FRA,MF,Dijon,2001
Haris Belkebla\Haris-Belkebla,ALG,MF,Brest,1994
Stefan Bell\Stefan-Bell,GER,DF,Mainz 05,1991
Karim Bellarabi\Karim-Bellarabi,GER,FWMF,Leverkusen,1990
Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde,FRA,MFFW,Strasbourg,1998
Héctor Bellerín\Hector-Bellerin,ESP,DF,Arsenal,1995
Jude Bellingham\Jude-Bellingham,ENG,MF,Dortmund,2003
Andrea Belotti\Andrea-Belotti,ITA,FW,Torino,1993
Fran Beltrán\Fran-Beltran,ESP,MF,Celta Vigo,1999
Sami Ben Amar\Sami-Ben-Amar,MAR,MF,Nîmes,1998
Hatem Ben Arfa\Hatem-Ben-Arfa,FRA,MFFW,Bordeaux,1987
Salim Ben Seghir\Salim-Ben-Seghir,FRA,DF,Nice,2003
Wissam Ben Yedder\Wissam-Ben-Yedder,FRA,FW,Monaco,1990
Ahmad Benali\Ahmad-Benali,LBY,MF,Crotone,1992
Samy Benchama\Samy-Benchama,FRA,MFDF,Montpellier,2000
Lars Bender\Lars-Bender,GER,DF,Leverkusen,1989
Sven Bender\Sven-Bender,GER,DF,Leverkusen,1989
Darío Benedetto\Dario-Benedetto,ARG,FW,Marseille,1990
László Bénes\Laszlo-Benes,SVK,MFFW,Augsburg,1997
László Bénes\Laszlo-Benes,SVK,MF,M'Gladbach,1997
Walter Benítez\Walter-Benitez,ARG,GK,Nice,1993
Loris Benito\Loris-Benito,SUI,DF,Bordeaux,1992
Sergio Benito\Sergio-Benito,ESP,FW,Valladolid,1999
Bilal Benkhedim\Bilal-Benkhedim,FRA,FW,Saint-Étienne,2001
Djamel Benlamri\Djamel-Benlamri,ALG,DF,Lyon,1989
Ismaël Bennacer\Ismael-Bennacer,ALG,MF,Milan,1997
Saïd Benrahma\Said-Benrahma,ALG,FWMF,West Ham,1995
Yassine Benrahou\Yassine-Benrahou,FRA,MF,Nîmes,1999
Ramy Bensebaini\Ramy-Bensebaini,ALG,DF,M'Gladbach,1995
Josh Benson\Josh-Benson,ENG,MF,Burnley,1999
Nabil Bentaleb\Nabil-Bentaleb,ALG,MF,Schalke 04,1994
Rodrigo Bentancur\Rodrigo-Bentancur,URU,MF,Juventus,1997
Christian Benteke\Christian-Benteke,BEL,FW,Crystal Palace,1990
Karim Benzema\Karim-Benzema,FRA,FW,Real Madrid,1987
Yassine Benzia\Yassine-Benzia,ALG,MFFW,Dijon,1994
Alessandro Berardi\Alessandro-Berardi,ITA,GK,Hellas Verona,1991
Domenico Berardi\Domenico-Berardi,ITA,FWMF,Sassuolo,1994
Gaetano Berardi\Gaetano-Berardi,SUI,DF,Leeds United,1988
Yuri Berchiche\Yuri-Berchiche,ESP,DF,Athletic Club,1990
Álex Berenguer\Alex-Berenguer,ESP,MF,Torino,1995
Álex Berenguer\Alex-Berenguer,ESP,MFFW,Athletic Club,1995
Bartosz Bereszyński\Bartosz-Bereszynski,POL,DF,Sampdoria,1992
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,ISL,MF,Burnley,1990
Sander Berge\Sander-Berge,NOR,MF,Sheffield Utd,1998
Steven Bergwijn\Steven-Bergwijn,NED,FWMF,Tottenham,1997
Valon Berisha\Valon-Berisha,KVX,MF,Reims,1993
Bernard\Bernard,BRA,MFFW,Everton,1992
Federico Bernardeschi\Federico-Bernardeschi,ITA,DFMF,Juventus,1994
Bernardo\Bernardo,BRA,DFMF,Brighton,1995
Paul Bernardoni\Paul-Bernardoni,FRA,GK,Angers,1997
Juan Bernat\Juan-Bernat,ESP,DF,Paris S-G,1993
Dimitry Bertaud\Dimitry-Bertaud,FRA,GK,Montpellier,1998
Marco Bertini\Marco-Bertini,ITA,MF,Lazio,2002
Ryan Bertrand\Ryan-Bertrand,ENG,DF,Southampton,1989
Daniel Bessa\Daniel-Bessa,ITA,MFFW,Hellas Verona,1993
Loïc Bessile\Loic-Bessile,TOG,DF,Bordeaux,1999
Louis Beyer\Louis-Beyer,GER,DF,M'Gladbach,2000
Bartosz Bialek\Bartosz-Bialek,POL,FWMF,Wolfsburg,2001
Giulian Biancone\Giulian-Biancone,FRA,DFMF,Monaco,2000
Ermin Bičakčić\Ermin-Bicakcic,BIH,DF,Hoffenheim,1990
Pedro Bigas\Pedro-Bigas,ESP,DF,Eibar,1990
El Bilal Touré\El-Bilal-Toure,MLI,FWMF,Reims,2001
Cristiano Biraghi\Cristiano-Biraghi,ITA,DF,Fiorentina,1992
Davide Biraschi\Davide-Biraschi,ITA,DF,Genoa,1994
Yves Bissouma\Yves-Bissouma,MLI,MF,Brighton,1996
Leonardo Bittencourt\Leonardo-Bittencourt,GER,MFFW,Werder Bremen,1993
Blanco\Blanco,ESP,MFDF,Real Madrid,2000
Alejandro Blanco\Alejandro-Blanco,ESP,MF,Valencia,1998
Rubén Blanco\Ruben-Blanco,ESP,GK,Celta Vigo,1995
Ludovic Blas\Ludovic-Blas,FRA,MFFW,Nantes,1997
Alejandro Blesa\Alejandro-Blesa,ESP,MF,Levante,2002
Jérôme Boateng\Jerome-Boateng,GER,DF,Bayern Munich,1988
Antonin Bobichon\Antonin-Bobichon,FRA,MFFW,Angers,1995
