Unnamed: 0,Expected,Expected.1,Expected.2,Expected.3
Rk,xG,npxG,xA,npxG+xA
736,1.7,1.7,0.5,2.2
737,2.1,2.1,2.2,4.3
738,1.6,0.1,0.5,0.6
739,5.2,5,3.3,8.3
740,0.5,0.5,0.3,0.8
741,0.4,0.4,0.8,1.2
742,3.7,3.7,3.7,7.4
743,7.6,6,1.1,7.2
744,0.1,0.1,0.2,0.3
745,0,0,0,0
746,0.1,0.1,0.1,0.2
747,1.5,1.5,2.3,3.7
748,0,0,0,0
749,0,0,0,0
750,0,0,0,0
751,0,0,0,0
752,1,1,0.1,1.1
753,4.3,3.5,2.3,5.8
754,0.4,0.4,0.1,0.5
755,2.1,2.1,2.2,4.3
756,1.2,1.2,1.8,3
757,0.2,0.2,0.5,0.6
758,0,0,0,0
759,0,0,0.1,0.1
760,0.4,0.4,0,0.4
761,0.6,0.6,1.2,1.9
762,0.5,0.5,2.7,3.2
763,0.3,0.3,0.4,0.7
764,0,0,0.1,0.1
765,0.1,0.1,0,0.1
766,0,0,0,0
767,0,0,0,0.1
768,2.2,2.2,2.8,4.9
769,2.8,2.8,1.6,4.4
770,0,0,0,0
771,1.3,1.3,1,2.3
772,0,0,0,0
773,1.1,1.1,0.2,1.3
774,1.3,1.3,2.4,3.7
775,1,1,5.8,6.8
776,0,0,0,0
777,5.8,2.8,4.1,6.9
778,0,0,0,0
779,1.1,1.1,1.3,2.4
780,0.3,0.3,0.5,0.8
781,0,0,0,0.1
782,0.2,0.2,1.1,1.3
783,2.5,2.5,0.9,3.4
784,0.4,0.4,0.1,0.5
785,1.6,1.6,2.1,3.8
786,0.1,0.1,0.1,0.2
787,0.7,0.7,0.6,1.2
788,4.6,4.6,2.9,7.5
789,13,12.2,2.5,14.7
790,3.7,3.7,2,5.7
791,0,0,0.5,0.5
792,0,0,0.6,0.6
793,1.6,1.6,0,1.6
794,0.2,0.2,0.2,0.3
795,0,0,0.4,0.4
796,0.1,0.1,0,0.1
797,0.7,0.7,0.2,1
798,0,0,0,0
799,1.1,1.1,3.3,4.4
800,0,0,0,0
801,0.5,0.5,0.7,1.2
802,0.8,0.8,0.9,1.6
803,0.2,0.2,0,0.2
804,0.3,0.3,0,0.3
805,4,4,3.4,7.4
806,1.8,1.8,0.7,2.5
807,0.5,0.5,0.6,1.1
808,0.5,0.5,0.2,0.7
809,0.3,0.3,0.2,0.5
810,2,2,0.2,2.2
811,0.2,0.2,0.1,0.3
812,2,2,0.8,2.8
813,7,7,1,8
814,1.2,1.2,2.2,3.4
815,0,0,0,0
816,1.3,1.3,0.1,1.4
817,0.1,0.1,0,0.1
818,14.8,14.8,1.3,16.1
819,1.2,1.2,1.1,2.3
820,2.3,2.3,2.1,4.4
821,5.8,5,1,6
822,1.7,1.7,2.6,4.3
823,1.3,1.3,0.5,1.8
824,0,0,0,0
825,0.6,0.6,0,0.7
826,0,0,0,0
827,1.4,1.4,1.3,2.6
828,0.2,0.2,0.5,0.7
829,0.2,0.2,1.3,1.5
830,0,0,0.1,0.1
831,1.7,1.7,1.9,3.6
832,0.5,0.5,1.3,1.8
833,0,0,0.1,0.1
834,0.5,0.5,0.2,0.7
835,1.7,1.7,0.3,2
836,3.3,1.8,2.8,4.6
837,2.2,2.2,0.5,2.7
838,2.2,2.2,2.8,5.1
839,0,0,0,0
840,0,0,0,0
841,0.4,0.4,0.4,0.8
842,0.3,0.3,0.5,0.8
843,3.1,1.5,2.9,4.5
844,0.1,0.1,0,0.1
845,0,0,0,0
846,0.7,0.7,0.1,0.9
847,0,0,0,0
