Unnamed: 0,SCA,SCA.1,SCA Types,SCA Types.1,SCA Types.2,SCA Types.3,SCA Types.4,SCA Types.5,GCA,GCA.1,GCA Types,GCA Types.1,GCA Types.2,GCA Types.3,GCA Types.4,GCA Types.5
Rk,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
305,78,2.5,43,31,1,1,2,0,7,0.22,6,1,0,0,0,0
306,3,0.3,2,0,0,0,1,0,0,0,0,0,0,0,0,0
307,52,1.5,42,0,1,2,3,4,2,0.06,2,0,0,0,0,0
308,45,2.68,26,10,4,1,2,2,4,0.24,1,1,0,0,1,1
309,5,2.05,5,0,0,0,0,0,0,0,0,0,0,0,0,0
310,11,1.71,10,0,1,0,0,0,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,75,2.42,49,4,13,5,3,1,10,0.32,6,0,3,0,1,0
313,1,8.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
314,15,0.57,14,0,0,0,0,1,3,0.11,3,0,0,0,0,0
315,39,3.85,25,5,2,2,4,1,3,0.3,2,0,0,1,0,0
316,6,2.15,2,0,0,0,2,2,0,0,0,0,0,0,0,0
317,60,2.62,48,1,4,2,4,1,7,0.31,6,0,0,1,0,0
318,32,1.55,25,0,3,2,2,0,1,0.05,1,0,0,0,0,0
319,1,0.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0
320,43,2.17,27,2,10,1,3,0,7,0.35,4,0,2,0,1,0
321,8,2.6,6,0,0,0,2,0,1,0.32,1,0,0,0,0,0
322,11,0.89,6,1,3,0,1,0,1,0.08,0,0,1,0,0,0
323,48,3.29,26,13,0,3,5,1,6,0.41,6,0,0,0,0,0
324,11,0.53,9,0,0,2,0,0,1,0.05,1,0,0,0,0,0
325,56,2.23,39,4,4,4,4,1,7,0.28,5,0,0,1,1,0
326,14,2.23,9,0,1,1,2,1,5,0.8,4,0,0,0,0,1
327,2,1.37,2,0,0,0,0,0,1,0.69,1,0,0,0,0,0
328,7,0.26,5,2,0,0,0,0,1,0.04,1,0,0,0,0,0
329,9,0.4,8,1,0,0,0,0,1,0.04,1,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,1,8.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
332,2,0.09,2,0,0,0,0,0,1,0.04,1,0,0,0,0,0
333,13,0.35,12,0,0,0,1,0,1,0.03,1,0,0,0,0,0
334,83,2.75,42,2,21,8,5,5,13,0.43,8,0,2,1,1,1
335,16,0.83,11,0,3,0,1,1,4,0.21,2,0,1,0,1,0
336,43,5.94,23,11,5,1,2,1,1,0.14,0,1,0,0,0,0
337,18,2.21,10,0,3,0,4,1,2,0.25,0,0,0,0,2,0
338,14,2.08,9,0,0,2,3,0,0,0,0,0,0,0,0,0
339,148,4.73,78,37,9,6,17,1,13,0.42,7,2,0,2,2,0
340,4,0.12,4,0,0,0,0,0,0,0,0,0,0,0,0,0
341,9,0.99,7,1,1,0,0,0,0,0,0,0,0,0,0,0
342,7,1.19,5,0,2,0,0,0,1,0.17,1,0,0,0,0,0
343,107,3.77,52,47,1,6,0,1,11,0.39,5,6,0,0,0,0
344,2,16.36,2,0,0,0,0,0,1,8.18,1,0,0,0,0,0
345,78,2.74,44,11,4,10,8,1,11,0.39,6,3,0,2,0,0
346,8,0.47,7,0,0,1,0,0,0,0,0,0,0,0,0,0
347,13,0.38,10,0,0,2,0,1,3,0.09,3,0,0,0,0,0
